FPR,TPR,x,y
0.0,0.0,0.0,0.0
0.05,0.0,0.05,0.0
0.05,0.16666666666666666,0.05,0.16666666666666666
0.15,0.16666666666666666,0.15,0.16666666666666666
0.15,0.3333333333333333,0.15,0.3333333333333333
0.25,0.3333333333333333,0.25,0.3333333333333333
0.25,0.6666666666666666,0.25,0.6666666666666666
0.45,0.6666666666666666,0.45,0.6666666666666666
0.45,1.0,0.45,1.0
1.0,1.0,1.0,1.0
